IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
RS_228,Existence of a national road safety strategy,text,AFR,Africa,Country,CAF,Central African Republic,Year,2016,true,,,,,,,,,,,,,,,,,,,−,,,EN,2020-06-04T18:30:00.000Z
RS_228,Existence of a national road safety strategy,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2016,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2020-06-04T18:30:00.000Z
RS_228,Existence of a national road safety strategy,text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2016,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2020-06-04T18:30:00.000Z
RS_228,Existence of a national road safety strategy,text,EUR,Europe,Country,ARM,Armenia,Year,2016,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2020-06-04T18:30:00.000Z
RS_228,Existence of a national road safety strategy,text,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2020-06-04T18:30:00.000Z
RS_228,Existence of a national road safety strategy,text,AMR,Americas,Country,BRB,Barbados,Year,2016,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2020-06-04T18:30:00.000Z
RS_228,Existence of a national road safety strategy,text,AFR,Africa,Country,BEN,Benin,Year,2016,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2020-06-04T18:30:00.000Z
RS_228,Existence of a national road safety strategy,text,AFR,Africa,Country,BDI,Burundi,Year,2016,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2020-06-04T18:30:00.000Z
RS_228,Existence of a national road safety strategy,text,AFR,Africa,Country,COM,Comoros,Year,2016,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2020-06-04T18:30:00.000Z
RS_228,Existence of a national road safety strategy,text,AMR,Americas,Country,DMA,Dominica,Year,2016,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2020-06-04T18:30:00.000Z
RS_228,Existence of a national road safety strategy,text,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2016,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2020-06-04T18:30:00.000Z
