IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
RS_217,Maximum speed limits,text,AFR,Africa,Country,BEN,Benin,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,COM,Comoros,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,DMA,Dominica,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,GIN,Guinea,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,HND,Honduras,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,TGO,Togo,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,Speed limits are established at subnational level per streets' names,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,?,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,SWZ,Eswatini,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,100,,"Speed limit for public roads is 100 km/h for a road with a surface of concrete, bitumen or tar and 80 km/h for other roads",EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,SEAR,South-East Asia,Country,IND,India,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,100,,Speed limit set per vehicle type with a maximum speed limit of 100 km/h for passengers cars comprising not more than eight seats in addition to the driver�s seat,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,100,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,112,,Speed limit set per vehicle type with a maximum speed limit of 70 miles per hour (112 km/h) for  light vehicles,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,MEX,Mexico,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,20,,70,20 - 70,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,LCA,Saint Lucia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,24,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,SYC,Seychelles,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,25,,80,25 - 80,,Speed limits depend on the geographical area considered: the maximum speed limit is 40 km/h on roads in  Greater Victoria and 80 km/h on any other roads; different speed limits are set for the island of praslin and la digue subject respectively to a 65 km/h and 25 km/h speed limit,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,30,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,30,,"Speed limit set per vehicle type with a maximum speed limit of 30 km/h for specified vehicles, except in designated areas with higher speeds",EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,32,,"Applies in the City of Saint John's and in designated ""speed limit areas""",EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,GRD,Grenada,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,32,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,USA,United States of America,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,32,,128,32 - 128,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,ALB,Albania,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,BLZ,Belize,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,Can be increased to an unspecified speed under certain circumstances,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,LBR,Liberia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,SEAR,South-East Asia,Country,NPL,Nepal,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,"Speed limit set per vehicle type with a maximum speed limit of 80 km/h for specified vehicles including cars, and a maximum limit of 40 km/h in an area with dense settlement",EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,PHL,Philippines,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,SUR,Suriname,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,40,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,45,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,URY,Uruguay,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,45,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,JAM,Jamaica,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,48,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,48,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,48,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,AUS,Australia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,AUT,Austria,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,BEL,Belgium,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,Can be increased up to an unspecified speed,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,BGR,Bulgaria,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
