Type,Global_Location_Code,Global_Location_Name,Country_Code,Country_Name,Year,Data_Type,Data_Description,Value
Applicability of national motorcycle helmet law to all occupants,EMR,Eastern Mediterranean,AFG,Afghanistan,2017,Motorcycle Occupant Type,Adult passengers,—
Applicability of national motorcycle helmet law to all occupants,EMR,Eastern Mediterranean,AFG,Afghanistan,2017,Motorcycle Occupant Type,Drivers,—
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,ATG,Antigua and Barbuda,2017,Motorcycle Occupant Type,Adult passengers,—
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,ATG,Antigua and Barbuda,2017,Motorcycle Occupant Type,Drivers,—
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,COM,Comoros,2017,Motorcycle Occupant Type,Adult passengers,—
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,COM,Comoros,2017,Motorcycle Occupant Type,Drivers,—
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,DMA,Dominica,2017,Motorcycle Occupant Type,Adult passengers,—
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,DMA,Dominica,2017,Motorcycle Occupant Type,Drivers,—
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,GUY,Guyana,2017,Motorcycle Occupant Type,Adult passengers,—
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,GUY,Guyana,2017,Motorcycle Occupant Type,Drivers,—
Applicability of national motorcycle helmet law to all occupants,EMR,Eastern Mediterranean,SOM,Somalia,2017,Motorcycle Occupant Type,Adult passengers,—
Applicability of national motorcycle helmet law to all occupants,EMR,Eastern Mediterranean,SOM,Somalia,2017,Motorcycle Occupant Type,Drivers,—
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,SSD,South Sudan,2017,Motorcycle Occupant Type,Adult passengers,—
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,SSD,South Sudan,2017,Motorcycle Occupant Type,Drivers,—
Applicability of national motorcycle helmet law to all occupants,EMR,Eastern Mediterranean,IRQ,Iraq,2017,Motorcycle Occupant Type,Adult passengers,No
Applicability of national motorcycle helmet law to all occupants,EMR,Eastern Mediterranean,LBY,Libya,2017,Motorcycle Occupant Type,Adult passengers,No
Applicability of national motorcycle helmet law to all occupants,EMR,Eastern Mediterranean,LBY,Libya,2017,Motorcycle Occupant Type,Drivers,No
Applicability of national motorcycle helmet law to all occupants,SEAR,South-East Asia,MDV,Maldives,2017,Motorcycle Occupant Type,Adult passengers,No
Applicability of national motorcycle helmet law to all occupants,SEAR,South-East Asia,MDV,Maldives,2017,Motorcycle Occupant Type,Drivers,No
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,MEX,Mexico,2017,Motorcycle Occupant Type,Adult passengers,No
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,MEX,Mexico,2017,Motorcycle Occupant Type,Drivers,No
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,SEN,Senegal,2017,Motorcycle Occupant Type,Drivers,No
Applicability of national motorcycle helmet law to all occupants,EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2017,Motorcycle Occupant Type,Adult passengers,No
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,TZA,United Republic of Tanzania,2017,Motorcycle Occupant Type,Adult passengers,No
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,USA,United States of America,2017,Motorcycle Occupant Type,Adult passengers,No
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,USA,United States of America,2017,Motorcycle Occupant Type,Drivers,No
Applicability of national motorcycle helmet law to all occupants,EMR,Eastern Mediterranean,AFG,Afghanistan,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,EUR,Europe,ALB,Albania,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,ATG,Antigua and Barbuda,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,ARG,Argentina,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,SEAR,South-East Asia,BGD,Bangladesh,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,BRB,Barbados,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,BLZ,Belize,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,BEN,Benin,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,SEAR,South-East Asia,BTN,Bhutan,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,BOL,Bolivia (Plurinational State of),2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,BWA,Botswana,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,BDI,Burundi,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,CIV,Cote d'Ivoire,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,WPR,Western Pacific,KHM,Cambodia,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,CAN,Canada,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,CHL,Chile,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,COL,Colombia,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,COM,Comoros,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,WPR,Western Pacific,COK,Cook Islands,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,COD,Democratic Republic of the Congo,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,DMA,Dominica,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,EMR,Eastern Mediterranean,EGY,Egypt,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AMR,Americas,SLV,El Salvador,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,ERI,Eritrea,2017,Motorcycle Occupant Type,Child passengers,Not restricted
Applicability of national motorcycle helmet law to all occupants,AFR,Africa,SWZ,Eswatini,2017,Motorcycle Occupant Type,Child passengers,Not restricted
